id;number;question_text;difficulty_level;correct_answer;enable;correct_answer_2;correct_answer_3;correct_answer_4
1;24464;ugh;6560;cluttered;false;inasmuch oddly;indulge jovially;mailman
2;32307;via vainly;10459;joyful segregate;true;despite up;aboard;glory
3;12937;free;21517;gray;false;provided dimly;neatly obfuscate atop;circa
4;5922;grotesque hence;31763;than merrily furiously;true;flaky;likewise ouch;solemnly
5;9757;aha;10878;burning during loving;true;hence until;duh along;whose palpate why
6;2010;boohoo spherical yum;26153;psst artichoke;false;rutabaga save;hm or;times sunny
7;32518;lest gosh;9356;dining;true;now dollop;flawless around linguist;afore hm
8;25766;since grub;12873;fuss where;true;wraparound;ick to;port
9;26843;rigidly yowza gosh;10693;boohoo;true;what beside gah;lively ew timely;deep regarding why
10;17570;selfish slim pretzel;10921;tow razz sweetly;false;knowingly;whereas around;mmm glen
